,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Lasa,IT,46.6166,10.7002,30.02,63,1,0.83,clear sky
272,Mokhsogollokh,RU,61.4681,128.9203,-40.77,100,52,0.49,broken clouds
273,Orda,RU,57.1951,56.9091,24.39,93,100,17.31,light snow
274,Broken Hill,AU,-31.95,141.4333,65.17,56,99,15.08,light rain
275,Bereda,ES,43.2686,-7.5406,43.0,98,6,2.57,clear sky
276,Antofagasta,CL,-23.65,-70.4,72.21,49,34,8.5,scattered clouds
277,Tiksi,RU,71.6872,128.8694,0.9,74,100,20.22,overcast clouds
278,Makakilo City,US,21.3469,-158.0858,79.61,60,0,8.05,clear sky
279,Norfolk,US,42.1668,-71.2495,29.01,45,0,1.99,clear sky
280,Bac Lieu,VN,9.285,105.7244,74.88,82,77,13.4,broken clouds
281,Canutama,BR,-6.5339,-64.3831,78.21,91,100,3.65,overcast clouds
282,Kindu,CD,-2.95,25.95,68.52,96,100,2.01,overcast clouds
283,Zyryanskoye,RU,56.8306,86.6258,5.25,94,22,9.89,few clouds
284,San Vicente,AR,-26.6167,-54.1333,88.72,28,91,0.65,overcast clouds
285,Barao De Melgaco,BR,-16.1944,-55.9675,88.32,71,59,3.36,broken clouds
286,Nemuro,JP,43.3236,145.575,31.08,71,90,23.11,overcast clouds
287,La Palma,US,33.8464,-118.0467,68.9,71,100,8.01,overcast clouds
288,Ahipara,NZ,-35.1667,173.1667,73.15,52,39,2.66,scattered clouds
289,Boa Vista,BR,2.8197,-60.6733,87.78,42,20,6.91,few clouds
290,Kandrian,PG,-6.2167,149.55,80.83,80,87,5.1,light rain
291,Port Hawkesbury,CA,45.6169,-61.3485,38.17,97,100,7.0,overcast clouds
292,Sabha,LY,27.0377,14.4283,53.74,53,87,7.02,overcast clouds
293,Nuuk,GL,64.1835,-51.7216,25.88,73,100,15.01,overcast clouds
294,Totolapan,MX,18.5167,-96.1833,76.93,57,17,6.26,few clouds
295,Mayumba,GA,-3.432,10.6554,76.64,87,70,2.55,broken clouds
296,Kuvandyk,RU,51.4781,57.3552,-0.63,100,99,3.15,overcast clouds
297,Dekar,BW,-21.5333,21.9333,77.16,52,59,9.04,broken clouds
298,Vila,PT,42.0304,-8.1588,40.33,78,0,3.62,clear sky
299,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,90,100,21.72,overcast clouds
300,Huangnihe,CN,43.5583,128.0239,-7.04,98,100,2.44,overcast clouds
301,Chiredzi,ZW,-21.05,31.6667,71.55,57,0,3.78,clear sky
302,Palencia,ES,42.4167,-4.5,32.79,56,1,3.96,clear sky
303,Rapid Valley,US,44.0625,-103.1463,35.33,71,75,5.99,broken clouds
304,Myitkyina,MM,25.3833,97.4,53.01,67,87,2.35,overcast clouds
305,Zhigansk,RU,66.7697,123.3711,-28.71,96,59,15.95,broken clouds
306,Mount Darwin,ZW,-16.7725,31.5838,67.59,90,100,2.8,light rain
307,Grenaa,DK,56.4158,10.8783,39.85,93,100,16.08,overcast clouds
308,Emerald,AU,-23.5333,148.1667,80.35,64,89,13.38,overcast clouds
309,San Patricio,US,28.017,-97.5169,79.21,50,24,16.26,few clouds
310,Platnirovskaya,RU,45.3953,39.3842,30.15,89,88,9.84,light snow
311,Magadan,RU,59.5667,150.8,1.17,63,0,9.84,clear sky
312,Aklavik,CA,68.2191,-135.0107,-21.28,97,100,4.99,overcast clouds
313,Hazorasp,UZ,41.3194,61.0742,30.04,98,100,13.13,light snow
314,Kasongo-Lunda,CD,-6.4667,16.8167,68.68,97,98,2.53,overcast clouds
315,Pauini,BR,-7.7136,-66.9764,80.4,78,97,2.37,overcast clouds
316,Shaoyang,CN,27.2315,111.4525,43.32,91,2,0.98,clear sky
317,Atkinson,US,42.8384,-71.147,27.41,46,0,5.99,clear sky
318,Sergeyevka,KZ,53.88,67.4158,6.22,92,8,12.08,clear sky
319,Jhalida,IN,23.3667,85.9667,52.92,39,6,4.32,clear sky
320,Kaka,TM,37.3482,59.6143,36.91,85,90,6.08,overcast clouds
321,Sitka,US,57.0531,-135.33,35.89,85,100,3.18,overcast clouds
322,Dicabisagan,PH,17.0818,122.4157,70.18,82,90,4.72,overcast clouds
323,Kuching,MY,1.55,110.3333,75.42,100,20,2.3,few clouds
324,Severo-Kurilsk,RU,50.6789,156.125,27.1,87,100,6.2,overcast clouds
325,Bani,DO,18.2833,-70.3333,83.64,69,9,7.23,clear sky
326,Vila Velha,BR,-20.3297,-40.2925,80.55,86,20,7.0,few clouds
327,Richards Bay,ZA,-28.783,32.0377,73.27,77,0,10.74,clear sky
328,Chara,RU,56.9064,118.2631,-25.26,52,6,1.36,clear sky
329,Coruripe,BR,-10.1256,-36.1756,78.46,72,0,7.18,clear sky
330,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,87,100,1.01,overcast clouds
331,Chhatarpur,IN,24.9,79.6,46.38,44,0,2.8,clear sky
332,Chauk,MM,20.8833,94.8167,62.98,62,0,4.14,clear sky
333,Saldanha,ZA,-33.0117,17.9442,63.95,76,47,13.44,scattered clouds
334,Khash,IR,28.2211,61.2158,55.04,93,100,12.12,overcast clouds
335,Vardo,NO,70.3705,31.1107,28.6,93,100,29.93,light snow
336,Chapleau,CA,47.8405,-83.4034,6.89,66,100,6.91,overcast clouds
337,Port Arthur,CN,38.8,121.2667,19.62,72,91,24.18,overcast clouds
338,Barcelona,ES,41.3888,2.159,49.53,87,20,3.0,few clouds
339,Pangnirtung,CA,66.1451,-65.7125,6.8,66,100,8.05,light snow
340,Alyangula,AU,-13.8483,136.4192,84.36,69,100,8.39,overcast clouds
341,Bengkulu,ID,-3.8004,102.2655,74.98,89,100,5.95,overcast clouds
342,Haines Junction,CA,60.7522,-137.5108,2.75,98,100,0.34,overcast clouds
343,Katsuura,JP,35.1333,140.3,37.18,46,56,7.31,broken clouds
344,Poum,NC,-20.2333,164.0167,80.1,67,32,7.45,scattered clouds
